Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,Num_of_Baskets,City,Weather,Temperature,Humidity,Occasion,Cluster Labels,Segment
indian,female,moderate,36,yes,yes,big,black,casual,grey,short_sleeve,blue,short,clothes,W6,D10,no,58,5,15.0,3,Putrajaya,Dense fog,28,83,Normal Day,1,Second
indian,male,thin,33,no,no_kids,small,black,casual,white,long_sleeve,blue,short,clothes,W3,D8,no,59,0,21.0,1,Putrajaya,Dense fog,28,83,Normal Day,1,Second
indian,male,thin,46,no,no_kids,big,blue,formal,blue,short_sleeve,brown,short,clothes,W4,D10,no,52,3,14.0,3,Putrajaya,Dense fog,28,83,Normal Day,1,Second
chinese,female,thin,34,yes,yes,big,pink,formal,white,short_sleeve,blue,long,clothes,W6,D8,no,24,5,17.0,1,Kuala Lumpur,Dense fog,28,83,Normal Day,2,Third
malay,male,fat,50,no,no_kids,big,blue,casual,black,long_sleeve,black,long,clothes,W3,D7,yes,53,5,21.0,2,Putrajaya,Dense fog,28,83,Normal Day,1,Second
malay,female,thin,53,no,no_kids,small,black,casual,grey,short_sleeve,brown,long,clothes,W5,D8,yes,19,0,15.0,1,Putrajaya,Dense fog,28,83,Normal Day,0,First
malay,female,fat,39,no,no_kids,big,grey,formal,white,long sleeve,grey,long,clothes,W6,D9,no,29,0,14.0,3,Putrajaya,Dense fog,28,83,Normal Day,0,First
indian,male,moderate,45,yes,yes,big,white,casual,red,short_sleeve,green,long,clothes,W6,D9,no,55,1,14.0,3,Kuala Lumpur,Dense fog,28,83,Normal Day,1,Second
malay,female,fat,54,yes,yes,big,white,casual,blue,short_sleeve,brown,long,clothes,W3,D7,yes,50,5,14.0,2,Cyberjaya,Dense fog,28,83,Normal Day,1,Second
malay,female,fat,45,no,no_kids,big,black,formal,blue,short_sleeve,blue,long,clothes,W5,D7,no,42,2,8.0,3,Putrajaya,Dense fog,28,83,Normal Day,1,Second
indian,female,moderate,35,no,no_kids,big,black,casual,blue,long_sleeve,black,long,clothes,W3,D7,no,35,4,7.0,2,Putrajaya,Dense fog,28,83,Normal Day,2,Third
malay,female,fat,29,no,no_kids,big,pink,formal,grey,long_sleeve,blue,long,clothes,W3,D8,yes,45,1,9.0,3,Cyberjaya,Dense fog,28,83,Normal Day,1,Second
chinese,female,thin,51,yes,yes,big,blue,casual,white,long_sleeve,white,long,clothes,W4,D8,no,35,0,20.0,3,Kuala Lumpur,Dense fog,28,83,Normal Day,0,First
malay,male,thin,41,no,no_kids,big,blue,casual,black,short_sleeve,blue,long,blankets,W4,D9,no,16,2,15.0,1,Putrajaya,Dense fog,28,83,Normal Day,0,First
chinese,female,moderate,40,no,no_kids,small,black,formal,black,short_sleeve,white,long,clothes,W4,D10,no,34,4,8.0,1,Kuala Lumpur,Dense fog,28,83,Normal Day,0,First
malay,male,thin,41,no,no_kids,big,blue,casual,red,long_sleeve,black,long,clothes,W3,D7,yes,53,2,7.0,3,Putrajaya,Dense fog,28,83,Normal Day,1,Second
indian,female,thin,39,no,no_kids,small,black,casual,white,long sleeve,black,long,blankets,W5,D10,yes,24,3,20.0,1,Putrajaya,Dense fog,28,83,Normal Day,0,First
indian,female,moderate,49,no,no_kids,big,blue,formal,white,short_sleeve,blue,long,clothes,W3,D7,no,18,0,10.0,2,Kuala Lumpur,Dense fog,28,83,Normal Day,0,First
indian,female,thin,54,yes,young,big,red,casual,white,short_sleeve,black,long,clothes,W5,D7,no,38,0,14.0,3,Kuala Lumpur,Dense fog,28,83,Normal Day,0,First
indian,female,moderate,37,no,no_kids,big,red,casual,grey,short_sleeve,brown,short,clothes,W6,D7,no,35,5,18.0,3,Kuala Lumpur,Dense fog,28,83,Normal Day,2,Third
foreigner,male,thin,47,yes,yes,big,blue,casual,blue,short_sleeve,black,short,clothes,W6,D7,yes,22,0,14.0,2,Putrajaya,Dense fog,28,83,Normal Day,0,First
malay,male,fat,41,yes,young,big,blue,casual,orange,short_sleeve,grey,short,clothes,W6,D10,yes,59,1,15.0,1,Kuala Lumpur,Dense fog,28,83,Normal Day,1,Second
chinese,male,fat,36,no,no_kids,big,black,casual,white,short_sleeve,blue,short,clothes,W3,D9,yes,58,3,19.0,1,Putrajaya,Dense fog,28,83,Normal Day,1,Second
malay,female,thin,28,yes,baby,big,black,casual,red,short_sleeve,grey,long,clothes,W3,D9,no,17,3,21.0,3,Cyberjaya,Dense fog,28,83,Normal Day,2,Third
indian,male,fat,53,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,W3,D7,yes,26,2,8.0,3,Putrajaya,Dense fog,28,83,Normal Day,0,First
malay,male,thin,42,no,no_kids,big,black,casual,yellow,long_sleeve,black,long,clothes,W4,D7,yes,22,5,8.0,2,Putrajaya,Dense fog,28,83,Normal Day,0,First
chinese,female,moderate,39,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,W6,D9,no,28,4,15.0,2,Kuala Lumpur,Dense fog,28,83,Normal Day,0,First
indian,male,fat,40,no,no_kids,big,black,casual,white,long sleeve,brown,short,clothes,W4,D10,yes,51,4,14.0,1,Putrajaya,Dense fog,28,83,Normal Day,1,Second
malay,female,moderate,50,no,no_kids,small,red,casual,brown,long sleeve,brown,long,blankets,W3,D7,no,36,0,13.0,2,Cyberjaya,Dense fog,28,83,Normal Day,0,First
malay,female,moderate,48,no,no_kids,big,black,casual,red,long sleeve,blue,long,clothes,W6,D9,no,57,3,10.0,3,Kuala Lumpur,Dense fog,28,83,Normal Day,1,Second
indian,female,thin,41,no,no_kids,big,green,casual,white,short_sleeve,grey,long,clothes,W6,D9,no,48,0,11.0,3,Kuala Lumpur,Dense fog,28,83,Normal Day,1,Second
malay,male,moderate,51,no,no_kids,small,white,casual,blue,long_sleeve,black,long,clothes,W6,D10,no,45,0,11.0,2,Cyberjaya,Dense fog,28,83,Normal Day,1,Second
chinese,female,thin,54,no,no_kids,big,red,formal,white,short_sleeve,brown,short,clothes,W6,D9,no,11,5,7.0,2,Putrajaya,Dense fog,28,83,Normal Day,0,First
malay,male,thin,50,yes,toddler,small,black,casual,black,long_sleeve,blue,long,clothes,W4,D10,no,21,5,13.0,1,Putrajaya,Dense fog,28,83,Normal Day,0,First
indian,female,fat,44,no,no_kids,big,blue,casual,white,long sleeve,black,long,clothes,W5,D8,no,39,5,19.0,1,Putrajaya,Dense fog,28,83,Normal Day,1,Second
malay,female,fat,36,no,no_kids,big,blue,casual,blue,long_sleeve,black,long,clothes,W4,D9,no,35,0,12.0,1,Kuala Lumpur,Dense fog,28,83,Normal Day,2,Third
malay,female,moderate,45,yes,young,small,red,casual,black,short_sleeve,red,long,clothes,W4,D7,yes,35,0,19.0,1,Putrajaya,Dense fog,28,83,Normal Day,0,First
indian,female,thin,42,no,no_kids,big,red,casual,green,long sleeve,red,long,clothes,W6,D8,yes,19,3,20.0,2,Putrajaya,Dense fog,28,83,Normal Day,0,First
malay,male,fat,54,no,no_kids,small,red,casual,white,short_sleeve,blue,long,clothes,W4,D8,yes,16,1,21.0,1,Kuala Lumpur,Dense fog,28,83,Normal Day,0,First
chinese,female,thin,30,no,no_kids,big,blue,casual,white,short_sleeve,pink,short,clothes,W3,D10,yes,36,1,15.0,2,Putrajaya,Dense fog,28,83,Normal Day,2,Third
chinese,male,thin,38,yes,yes,big,red,casual,white,short_sleeve,blue,long,clothes,W4,D10,yes,24,3,14.0,2,Putrajaya,Dense fog,28,83,Normal Day,2,Third
chinese,female,fat,54,no,no_kids,big,brown,casual,white,long_sleeve,black,long,clothes,W3,D7,no,29,5,8.0,1,Kuala Lumpur,Dense fog,28,83,Normal Day,0,First
indian,male,fat,50,no,no_kids,big,grey,formal,grey,short_sleeve,red,short,clothes,W6,D10,yes,15,4,20.0,3,Kuala Lumpur,Dense fog,28,83,Normal Day,0,First
malay,male,fat,42,no,no_kids,big,black,casual,red,short_sleeve,black,long,blankets,W4,D7,no,39,3,7.0,1,Putrajaya,Dense fog,28,83,Normal Day,1,Second
malay,male,moderate,41,yes,baby,big,green,casual,black,short_sleeve,grey,long,clothes,W3,D9,no,13,2,10.0,3,Cyberjaya,Thunderstorms,28,83,Normal Day,0,First
malay,female,moderate,47,no,no_kids,big,purple,casual,blue,long sleeve,black,long,clothes,W6,D10,yes,13,4,16.0,3,Kuala Lumpur,Thunderstorms,28,83,Normal Day,0,First
indian,male,moderate,41,no,no_kids,big,white,casual,black,short_sleeve,blue,long,clothes,W6,D7,no,26,1,10.0,1,Kuala Lumpur,Thunderstorms,28,83,Normal Day,0,First
malay,female,fat,46,no,no_kids,small,white,casual,purple,long sleeve,pink,long,clothes,W5,D8,no,43,3,7.0,3,Kuala Lumpur,Thunderstorms,28,83,Normal Day,1,Second
indian,male,thin,29,yes,yes,small,red,formal,orange,short_sleeve,white,long,clothes,W6,D9,yes,52,0,14.0,1,Kuala Lumpur,Thunderstorms,28,83,Normal Day,1,Second
chinese,female,moderate,42,no,no_kids,small,black,casual,purple,short_sleeve,purple,long,clothes,W6,D8,no,35,3,11.0,2,Putrajaya,Partly cloudy,28,83,Normal Day,0,First
indian,male,fat,38,no,no_kids,big,red,casual,blue,short_sleeve,white,long,clothes,W6,D10,no,51,1,18.0,1,Kuala Lumpur,Partly cloudy,28,83,Normal Day,1,Second
malay,female,moderate,44,no,no_kids,big,white,casual,black,long sleeve,black,long,clothes,W6,D7,no,25,4,12.0,3,Kuala Lumpur,Partly cloudy,28,83,Normal Day,0,First
indian,male,fat,34,no,no_kids,small,black,casual,brown,short_sleeve,grey,short,clothes,W6,D8,no,49,0,20.0,1,Putrajaya,Partly cloudy,28,83,Normal Day,1,Second
malay,female,fat,47,no,no_kids,small,grey,casual,black,long sleeve,white,long,clothes,W4,D10,no,16,3,8.0,2,Putrajaya,Partly cloudy,28,83,Normal Day,0,First
indian,male,moderate,36,yes,young,big,black,formal,pink,short_sleeve,grey,long,clothes,W6,D9,no,54,3,11.0,1,Kuala Lumpur,Partly cloudy,28,83,Normal Day,1,Second
foreigner,female,fat,45,no,no_kids,big,purple,casual,red,short_sleeve,black,long,clothes,W6,D10,no,37,2,18.0,3,Putrajaya,Partly cloudy,28,83,Normal Day,0,First
indian,male,fat,35,no,no_kids,small,brown,casual,grey,long sleeve,blue,short,clothes,W3,D8,no,56,5,14.0,3,Putrajaya,Partly cloudy,28,83,Normal Day,1,Second
chinese,female,fat,32,no,no_kids,big,black,casual,red,short_sleeve,brown,short,clothes,W5,D10,no,44,2,14.0,3,Cyberjaya,Partly cloudy,28,83,Normal Day,1,Second
malay,male,thin,49,no,no_kids,big,green,formal,white,long sleeve,black,long,clothes,W5,D8,no,16,0,8.0,1,Putrajaya,Partly cloudy,28,83,Normal Day,0,First
foreigner,female,moderate,50,yes,toddler,big,orange,traditional,grey,short_sleeve,black,long,blankets,W3,D9,yes,12,0,19.0,2,Petaling Jaya,Partly cloudy,27,87,Normal Day,0,First
chinese,female,thin,18,no,no_kids,big,brown,traditional,green,long sleeve,grey,short,blankets,W3,D8,yes,58,4,7.0,2,Kuala Lumpur,Partly cloudy,27,87,Normal Day,1,Second
malay,male,moderate,36,yes,toddler,small,pink,formal,red,long sleeve,green,long,blankets,W6,D8,yes,59,1,9.0,1,Ampang,Partly cloudy,27,87,Normal Day,1,Second
indian,male,fat,33,no,no_kids,big,black,casual,pink,short_sleeve,pink,short,clothes,W4,D8,yes,49,2,7.0,3,Kuala Lumpur,Partly cloudy,27,87,Normal Day,1,Second
chinese,female,fat,53,yes,toddler,big,green,traditional,brown,short_sleeve,blue,long,blankets,W3,D10,no,26,5,13.0,1,Kuala Lumpur,Partly cloudy,27,87,Normal Day,0,First
chinese,male,thin,22,no,no_kids,small,orange,formal,pink,short_sleeve,black,long,clothes,W3,D7,yes,42,4,14.0,2,Kuala Lumpur,Partly cloudy,27,87,Normal Day,2,Third
malay,female,thin,19,yes,baby,big,orange,casual,pink,short_sleeve,black,long,blankets,W5,D10,no,12,2,17.0,1,Kuala Lumpur,Partly cloudy,27,87,Normal Day,2,Third
malay,female,moderate,46,yes,toddler,small,blue,formal,red,short_sleeve,blue,short,blankets,W3,D10,yes,30,3,15.0,3,Ampang,Partly cloudy,27,87,Normal Day,0,First
chinese,male,thin,38,yes,baby,small,white,formal,brown,long sleeve,blue,long,blankets,W5,D8,no,17,3,15.0,1,Kuala Lumpur,Partly cloudy,27,87,Normal Day,2,Third
foreigner,female,thin,23,yes,toddler,small,pink,traditional,brown,short_sleeve,yellow,short,blankets,W3,D7,no,40,4,16.0,3,Petaling Jaya,Partly cloudy,27,87,Normal Day,2,Third
indian,male,fat,50,yes,baby,small,black,traditional,blue,long sleeve,yellow,long,blankets,W5,D7,yes,20,0,21.0,1,Kuala Lumpur,Partly cloudy,27,87,Normal Day,0,First
foreigner,female,moderate,44,yes,toddler,small,orange,traditional,white,long sleeve,green,long,clothes,W3,D7,yes,56,1,21.0,1,Ampang,Partly cloudy,27,87,Normal Day,1,Second
chinese,male,moderate,48,yes,baby,big,pink,traditional,green,short_sleeve,pink,short,blankets,W3,D8,no,16,1,21.0,1,Kuala Lumpur,Partly cloudy,27,87,Normal Day,0,First
indian,male,thin,49,yes,toddler,big,pink,traditional,grey,long sleeve,pink,short,clothes,W4,D8,yes,53,0,7.0,2,Ampang,Partly cloudy,27,87,Normal Day,1,Second
chinese,male,thin,32,yes,young,big,pink,formal,green,long sleeve,blue,short,clothes,W4,D7,yes,56,5,10.0,2,Petaling,Partly cloudy,27,87,Normal Day,1,Second
chinese,female,thin,55,no,no_kids,big,grey,formal,red,long sleeve,yellow,short,blankets,W6,D8,no,51,0,21.0,2,Petaling Jaya,Partly cloudy,27,87,Normal Day,1,Second
foreigner,male,moderate,52,yes,toddler,small,black,formal,brown,long sleeve,pink,short,clothes,W6,D9,no,57,0,10.0,3,Kuala Lumpur,Partly cloudy,27,87,Normal Day,1,Second
indian,female,moderate,59,yes,toddler,small,blue,casual,white,short_sleeve,blue,long,clothes,W6,D9,no,41,1,14.0,2,Kuala Lumpur,Partly cloudy,27,87,Normal Day,0,First
chinese,male,moderate,56,yes,young,small,green,traditional,brown,short_sleeve,blue,long,blankets,W5,D10,yes,16,3,9.0,3,Petaling Jaya,Partly cloudy,27,87,Normal Day,0,First
chinese,female,thin,32,yes,toddler,big,yellow,casual,orange,short_sleeve,brown,long,clothes,W6,D8,yes,60,2,18.0,3,Petaling Jaya,Partly cloudy,27,87,Normal Day,1,Second
indian,female,fat,49,yes,young,big,green,formal,orange,long sleeve,yellow,long,clothes,W6,D8,yes,40,1,9.0,3,Kuala Lumpur,Partly cloudy,27,87,Normal Day,1,Second
malay,male,moderate,19,yes,toddler,big,yellow,traditional,brown,short_sleeve,red,long,clothes,W4,D9,no,52,1,13.0,3,Kuala Lumpur,Partly cloudy,27,87,Normal Day,1,Second
malay,male,fat,48,yes,young,small,pink,formal,grey,short_sleeve,purple,short,clothes,W6,D7,yes,16,2,8.0,3,Kuala Lumpur,Partly cloudy,27,87,Normal Day,0,First
chinese,female,moderate,33,no,no_kids,big,purple,casual,red,long sleeve,green,short,clothes,W5,D10,yes,33,4,8.0,2,Petaling Jaya,Partly cloudy,27,87,Normal Day,2,Third
chinese,female,thin,58,yes,toddler,big,red,formal,grey,long sleeve,red,long,clothes,W5,D8,no,21,4,17.0,3,Petaling,Partly cloudy,27,87,Normal Day,0,First
indian,male,fat,55,yes,toddler,big,white,formal,black,long sleeve,white,long,clothes,W3,D7,no,36,3,13.0,2,Petaling Jaya,Partly cloudy,27,87,Normal Day,0,First
foreigner,male,fat,38,yes,toddler,small,purple,formal,red,short_sleeve,pink,long,clothes,W3,D10,no,48,5,11.0,2,Kuala Lumpur,Partly cloudy,27,87,Normal Day,1,Second
malay,male,fat,60,yes,toddler,small,pink,casual,red,long sleeve,orange,short,clothes,W5,D8,no,50,3,15.0,1,Petaling,Partly cloudy,27,87,Normal Day,1,Second
malay,male,thin,60,yes,young,small,purple,casual,black,short_sleeve,blue,long,clothes,W6,D8,no,39,0,21.0,1,Petaling,Partly cloudy,27,87,Normal Day,0,First
indian,female,fat,30,no,no_kids,big,pink,formal,black,long sleeve,brown,short,blankets,W6,D7,no,30,3,18.0,1,Kuala Lumpur,Partly cloudy,27,87,Normal Day,2,Third
chinese,male,thin,44,yes,toddler,big,blue,traditional,grey,short_sleeve,pink,short,clothes,W4,D8,no,46,5,10.0,1,Petaling,Partly cloudy,27,87,Normal Day,1,Second
malay,female,fat,48,yes,baby,big,yellow,casual,purple,short_sleeve,green,long,clothes,W4,D7,no,49,1,18.0,3,Kuala Lumpur,Partly cloudy,27,87,Normal Day,1,Second
chinese,female,thin,25,yes,young,big,orange,traditional,red,short_sleeve,brown,short,clothes,W5,D9,yes,32,3,17.0,2,Ampang,Partly cloudy,27,87,Normal Day,2,Third
indian,female,thin,55,yes,young,big,brown,casual,red,short_sleeve,orange,long,clothes,W4,D9,no,60,1,14.0,1,Ampang,Partly cloudy,27,87,Normal Day,1,Second
malay,female,thin,51,yes,toddler,big,blue,traditional,pink,long sleeve,black,long,blankets,W5,D10,no,51,1,19.0,3,Petaling,Partly cloudy,27,87,Normal Day,1,Second
malay,female,fat,60,yes,young,small,blue,formal,orange,long sleeve,grey,long,blankets,W3,D10,yes,20,0,15.0,3,Petaling Jaya,Partly cloudy,27,87,Normal Day,0,First
malay,male,moderate,49,yes,toddler,small,pink,traditional,grey,short_sleeve,red,long,blankets,W4,D8,yes,49,3,21.0,1,Kuala Lumpur,Partly cloudy,27,87,Normal Day,1,Second
malay,male,thin,45,yes,toddler,big,brown,formal,yellow,short_sleeve,blue,long,blankets,W4,D10,yes,32,2,18.0,2,Petaling Jaya,Partly cloudy,27,87,Normal Day,0,First
chinese,female,moderate,31,yes,toddler,big,pink,formal,red,long sleeve,blue,long,blankets,W3,D9,yes,52,4,14.0,2,Petaling Jaya,Partly cloudy,27,87,Normal Day,1,Second
chinese,male,moderate,37,no,no_kids,big,white,casual,black,short_sleeve,blue,long,clothes,W6,D9,yes,16,0,7.0,1,Cyberjaya,Light rain,27,87,Normal Day,2,Third
indian,male,moderate,53,no,no_kids,big,orange,formal,white,short_sleeve,grey,short,blankets,W5,D8,no,25,4,15.0,3,Putrajaya,Light rain,27,87,Normal Day,0,First
chinese,male,thin,53,no,no_kids,big,yellow,casual,black,short_sleeve,blue,long,clothes,W5,D7,no,17,2,10.0,2,Kuala Lumpur,Light rain,27,87,Normal Day,0,First
chinese,male,thin,36,yes,toddler,big,yellow,casual,black,short_sleeve,black,long,clothes,W5,D9,yes,42,2,13.0,1,Putrajaya,Light rain,27,87,Normal Day,1,Second
malay,male,moderate,50,yes,young,big,white,casual,brown,short_sleeve,blue,long,blankets,W4,D7,no,38,2,8.0,1,Cyberjaya,Light rain,27,87,Normal Day,0,First
indian,male,thin,53,no,no_kids,big,blue,formal,black,short_sleeve,grey,long,clothes,W4,D10,no,16,3,9.0,1,Kuala Lumpur,Light rain,27,87,Normal Day,0,First
indian,male,thin,41,yes,young,big,orange,formal,red,short_sleeve,grey,long,clothes,W6,D10,no,34,2,20.0,2,Kuala Lumpur,Light rain,27,87,Normal Day,0,First
indian,female,fat,32,yes,toddler,big,red,formal,white,long sleeve,black,long,clothes,W3,D10,no,44,5,16.0,1,Putrajaya,Light rain,27,87,Normal Day,1,Second
indian,female,moderate,30,no,no_kids,big,white,casual,purple,short_sleeve,blue,long,blankets,W5,D8,yes,38,5,15.0,1,Putrajaya,Light rain,27,87,Normal Day,2,Third
indian,female,thin,35,no,no_kids,big,blue,casual,blue,short_sleeve,blue,short,blankets,W6,D10,no,12,2,12.0,2,Putrajaya,Light rain,27,87,Normal Day,2,Third
indian,female,thin,46,no,no_kids,big,white,casual,red,short_sleeve,black,short,clothes,W4,D10,no,59,5,8.0,1,Cyberjaya,Light rain,27,87,Normal Day,1,Second
indian,female,thin,51,no,no_kids,big,blue,formal,black,long sleeve,blue,long,clothes,W3,D7,no,23,3,19.0,1,Cyberjaya,Light rain,27,87,Normal Day,0,First
chinese,female,moderate,30,no,no_kids,big,black,casual,white,short_sleeve,grey,long,blankets,W3,D7,no,19,0,13.0,2,Kuala Lumpur,Light rain,27,87,Normal Day,2,Third
indian,female,fat,49,no,no_kids,big,yellow,casual,purple,long sleeve,green,long,clothes,W3,D10,no,51,3,7.0,2,Putrajaya,Light rain,27,87,Normal Day,1,Second
malay,male,thin,50,yes,young,big,blue,casual,white,short_sleeve,blue,long,clothes,W4,D8,no,34,5,17.0,2,Cyberjaya,Light rain,27,87,Normal Day,0,First
indian,female,thin,54,yes,baby,small,white,casual,red,short_sleeve,black,long,blankets,W6,D8,no,44,3,21.0,3,Kuala Lumpur,Light rain,27,87,Normal Day,1,Second
malay,female,fat,38,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,W6,D10,no,47,1,12.0,3,Kuala Lumpur,Light rain,27,87,Normal Day,1,Second
indian,female,moderate,36,no,no_kids,big,blue,casual,pink,short_sleeve,white,short,clothes,W5,D10,yes,46,2,12.0,1,Putrajaya,Light rain,27,87,Normal Day,1,Second
foreigner,female,thin,46,no,no_kids,big,red,traditional,green,long sleeve,green,long,clothes,W5,D10,no,53,1,20.0,2,Putrajaya,Light rain,27,87,Normal Day,1,Second
foreigner,female,moderate,42,no,no_kids,small,blue,traditional,red,long sleeve,red,long,clothes,W6,D9,no,56,1,18.0,1,Putrajaya,Light rain,27,87,Normal Day,1,Second
indian,male,moderate,31,no,no_kids,big,red,casual,green,short_sleeve,grey,long,clothes,W6,D7,yes,44,1,12.0,2,Kuala Lumpur,Light rain,27,87,Normal Day,1,Second
chinese,male,thin,37,no,no_kids,big,blue,casual,black,short_sleeve,brown,long,clothes,W4,D7,no,55,0,15.0,2,Putrajaya,Light rain,27,87,Normal Day,1,Second
indian,male,fat,51,yes,young,big,white,formal,red,short_sleeve,grey,long,blankets,W4,D9,yes,17,3,10.0,1,Cyberjaya,Light rain,27,87,Normal Day,0,First
indian,male,thin,30,no,no_kids,small,white,casual,white,short_sleeve,blue,short,clothes,W5,D7,no,58,2,19.0,3,Putrajaya,Light rain,27,87,Normal Day,1,Second
malay,female,moderate,47,no,no_kids,big,pink,formal,black,short_sleeve,brown,long,clothes,W5,D8,no,57,4,12.0,2,Kuala Lumpur,Light rain,27,87,Normal Day,1,Second
foreigner,male,moderate,33,no,no_kids,big,white,casual,blue,short_sleeve,grey,long,clothes,W6,D7,yes,38,3,10.0,2,Kuala Lumpur,Light rain,27,87,Normal Day,2,Third
malay,female,moderate,29,yes,baby,small,pink,casual,black,short_sleeve,blue,long,clothes,W4,D8,no,16,5,8.0,1,Putrajaya,Light rain,27,87,Normal Day,2,Third
indian,female,thin,54,no,no_kids,big,white,casual,black,short_sleeve,blue,short,clothes,W3,D8,yes,19,2,8.0,1,Cyberjaya,Light rain,27,87,Normal Day,0,First
malay,male,fat,50,yes,young,small,white,traditional,white,long sleeve,white,long,clothes,W3,D7,no,43,4,11.0,1,Kuala Lumpur,Light rain,27,87,Normal Day,1,Second
malay,female,moderate,45,yes,toddler,big,brown,casual,black,short_sleeve,blue,long,clothes,W5,D9,no,13,3,17.0,3,Cyberjaya,Light rain,27,87,Normal Day,0,First
chinese,male,moderate,45,no,no_kids,big,red,casual,grey,long_sleeve,black,short,clothes,W4,D9,no,29,3,14.0,1,Kuala Lumpur,Light rain,27,87,Normal Day,0,First
indian,female,thin,36,no,no_kids,big,black,formal,red,long sleeve,black,long,blankets,W3,D7,no,34,3,11.0,2,Kuala Lumpur,Light rain,27,87,Normal Day,2,Third
indian,male,fat,41,no,no_kids,big,green,casual,grey,short_sleeve,brown,short,clothes,W5,D9,yes,33,0,14.0,2,Kuala Lumpur,Light rain,27,87,Normal Day,0,First
malay,female,thin,54,yes,toddler,small,white,casual,black,long sleeve,black,long,clothes,W6,D8,no,45,2,11.0,1,Putrajaya,Light rain,27,87,Normal Day,1,Second
indian,female,moderate,35,no,no_kids,big,black,casual,white,short_sleeve,black,short,clothes,W3,D8,no,42,2,16.0,1,Kuala Lumpur,Light rain,27,87,Normal Day,1,Second
indian,female,moderate,46,yes,young,small,red,casual,white,long_sleeve,purple,short,clothes,W3,D8,no,30,3,18.0,1,Putrajaya,Light rain,27,87,Normal Day,0,First
indian,female,thin,53,yes,baby,big,red,casual,white,short_sleeve,black,long,clothes,W4,D8,yes,60,4,10.0,1,Kuala Lumpur,Light rain,27,87,Normal Day,1,Second
malay,female,moderate,48,no,no_kids,small,black,casual,white,short_sleeve,black,long,clothes,W3,D7,no,24,2,14.0,3,Cyberjaya,Light rain,27,87,Normal Day,0,First
chinese,male,thin,53,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,W4,D10,no,55,2,11.0,2,Kuala Lumpur,Light rain,27,87,Normal Day,1,Second
indian,female,thin,35,no,no_kids,big,green,casual,grey,short_sleeve,grey,long,blankets,W3,D8,yes,51,3,14.0,2,Cyberjaya,Light rain,27,87,Normal Day,1,Second
chinese,male,fat,45,no,no_kids,big,red,casual,brown,short_sleeve,blue,long,clothes,W3,D9,no,35,3,17.0,3,Kuala Lumpur,Passing clouds,27,87,Normal Day,0,First
indian,female,moderate,33,no,no_kids,big,white,casual,green,short_sleeve,blue,long,clothes,W3,D7,yes,48,1,9.0,2,Kuala Lumpur,Passing clouds,27,87,Normal Day,1,Second
malay,female,thin,45,no,no_kids,big,white,casual,white,short_sleeve,blue,long,clothes,W6,D7,no,33,4,8.0,1,Cyberjaya,Passing clouds,27,87,Normal Day,0,First
indian,male,fat,50,no,no_kids,big,black,casual,green,long_sleeve,black,short,blankets,W6,D8,no,43,1,20.0,1,Kuala Lumpur,Passing clouds,27,87,Normal Day,1,Second
foreigner,female,moderate,36,no,no_kids,big,blue,casual,grey,short_sleeve,blue,long,clothes,W6,D10,no,55,3,19.0,2,Kuala Lumpur,Passing clouds,27,87,Normal Day,1,Second
indian,male,fat,44,no,no_kids,big,red,formal,brown,short_sleeve,blue,long,clothes,W5,D8,no,35,4,18.0,2,Putrajaya,Passing clouds,27,87,Normal Day,0,First
chinese,male,thin,31,no,no_kids,big,black,casual,white,short_sleeve,blue,long,clothes,W5,D7,no,21,5,21.0,3,Cyberjaya,Passing clouds,27,87,Normal Day,2,Third
indian,male,moderate,47,no,no_kids,big,red,casual,white,short_sleeve,blue,long,blankets,W4,D8,no,30,5,11.0,1,Cyberjaya,Passing clouds,27,87,Normal Day,0,First
chinese,male,thin,36,yes,young,big,red,casual,white,short_sleeve,blue,short,clothes,W3,D8,yes,15,2,19.0,1,Cyberjaya,Passing clouds,27,87,Normal Day,2,Third
indian,male,thin,53,no,no_kids,big,black,casual,blue,long_sleeve,blue,short,clothes,W5,D7,no,34,0,12.0,1,Kuala Lumpur,Passing clouds,27,87,Normal Day,0,First
malay,female,thin,33,no,no_kids,big,red,traditional,purple,long sleeve,purple,long,clothes,W4,D8,yes,50,0,9.0,2,Kuala Lumpur,Passing clouds,27,87,Normal Day,1,Second
indian,male,fat,53,no,no_kids,big,red,formal,white,short_sleeve,black,long,clothes,W4,D10,no,37,1,14.0,2,Putrajaya,Passing clouds,27,87,Normal Day,0,First
malay,female,moderate,40,yes,young,big,purple,formal,pink,short_sleeve,grey,long,clothes,W3,D7,no,41,1,8.0,3,Putrajaya,Passing clouds,27,87,Normal Day,1,Second
malay,female,fat,36,yes,young,big,green,formal,white,short_sleeve,white,long,clothes,W3,D8,no,38,1,7.0,1,Putrajaya,Passing clouds,27,87,Normal Day,1,Second
